title,artist,link
Craigleith Island July '92 (1992),Delia M Surplice,collections.ed.ac.uk/art/record/99415?highlight=*:*
Italian quilting in frame,Unknown,collections.ed.ac.uk/art/record/102666?highlight=*:*
Unttiled (Unknown),Adam M Martin,collections.ed.ac.uk/art/record/21830?highlight=*:*
Untitled (2003),Robin Kukiel,collections.ed.ac.uk/art/record/99932?highlight=*:*
Black Bodice (1996),Anna Millar,collections.ed.ac.uk/art/record/22612?highlight=*:*
Study for Mural - Industrial Unrest,R Callender,collections.ed.ac.uk/art/record/21147?highlight=*:*
Nude in Studio Interior (1896),Samuel John Peploe,collections.ed.ac.uk/art/record/20739?highlight=*:*
Untitled - Drawing of Harbour (1967),Isobel T Johnstone,collections.ed.ac.uk/art/record/99255?highlight=*:*
Untitled (Unknown),David Giblin,collections.ed.ac.uk/art/record/21635?highlight=*:*
Unknown,George Roderick Carmichael,collections.ed.ac.uk/art/record/50566?highlight=*:*
Three Views of a Standing Male Nude with hand on hip (1948),John Thompson,collections.ed.ac.uk/art/record/20845?highlight=*:*
Reclining Male Nude (1957),William J. Dungate,collections.ed.ac.uk/art/record/20964?highlight=*:*
Broderie Anglais jacket,Unknown,collections.ed.ac.uk/art/record/102664?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/50381?highlight=*:*
Side Plate,Emma Gillies,collections.ed.ac.uk/art/record/53616?highlight=*:*
Portrait (1954),Ursula Giles,collections.ed.ac.uk/art/record/21207?highlight=*:*
Untitled (1994),Sara Ogilvie,collections.ed.ac.uk/art/record/21961?highlight=*:*
Portrait of a Seated Woman (1954),John P Busby,collections.ed.ac.uk/art/record/21376?highlight=*:*
Untitled (1954),Ian Hodkinson,collections.ed.ac.uk/art/record/111041?highlight=*:*
Minoan Fertility Goddess Figurines (2017),Daisy Silver,collections.ed.ac.uk/art/record/100015?highlight=*:*
Tskihrva (Unknown),Boris Bućan,collections.ed.ac.uk/art/record/22043?highlight=*:*
Embroidered panel,Winsome Douglass,collections.ed.ac.uk/art/record/113835?highlight=*:*
Unknown (1952),Leonard I. H. Gray,collections.ed.ac.uk/art/record/53487?highlight=*:*
Untitled,Kirkland Main,collections.ed.ac.uk/art/record/99987?highlight=*:*
1st State (Unknown),Euan Gray,collections.ed.ac.uk/art/record/21951?highlight=*:*
Untitled (Sucker Darts) (2016),James Howden,collections.ed.ac.uk/art/record/113746?highlight=*:*
Landscape (1961),Robin Forrester,collections.ed.ac.uk/art/record/21294?highlight=*:*
Blackwork' sampler. Miss Waddel,Miss Waddell,collections.ed.ac.uk/art/record/102670?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20726?highlight=*:*
Untitled,John Nichol,collections.ed.ac.uk/art/record/112448?highlight=*:*
Standing Male Nude,John Houston,collections.ed.ac.uk/art/record/21047?highlight=*:*
Unknown (Circa 1890),Unknown,collections.ed.ac.uk/art/record/50463?highlight=*:*
Unknown (1965),Laura McPherson,collections.ed.ac.uk/art/record/50499?highlight=*:*
Udder Hand (2016),Eden Hawkins,collections.ed.ac.uk/art/record/99265?highlight=*:*
"Commercial Street, Leith (Jan 1950)",John W. Corner,collections.ed.ac.uk/art/record/50515?highlight=*:*
Coffee Pot,Emma Gillies,collections.ed.ac.uk/art/record/53691?highlight=*:*
Needle lace mat,Unknown,collections.ed.ac.uk/art/record/102712?highlight=*:*
Untitled (1968),Michael Jannarelli,collections.ed.ac.uk/art/record/22505?highlight=*:*
Untitled (Unknown),Sabine R,collections.ed.ac.uk/art/record/21640?highlight=*:*
Untitled (1969),Moira Johnson,collections.ed.ac.uk/art/record/22021?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21862?highlight=*:*
Two Seated Women and One Standing Woman (1949),Douglas Gordon,collections.ed.ac.uk/art/record/21099?highlight=*:*
Unknown (1953-1954),Peter G. Collins,collections.ed.ac.uk/art/record/50540?highlight=*:*
Unknown,Iain Holden,collections.ed.ac.uk/art/record/53534?highlight=*:*
Blue Waterfall,Andrew Mackenzie,collections.ed.ac.uk/art/record/20751?highlight=*:*
Untitled (1969),Rosemary Hamblin,collections.ed.ac.uk/art/record/22004?highlight=*:*
Standing Male Nude (1959),Lys Hansen,collections.ed.ac.uk/art/record/20955?highlight=*:*
