title,artist,link
Sweden - boats tied up at quayside (1963),Ann F Ward,collections.ed.ac.uk/art/record/99348?highlight=*:*
Side Plate,Emma Gillies,collections.ed.ac.uk/art/record/53613?highlight=*:*
Seascape (1955),Myra E. Soni,collections.ed.ac.uk/art/record/22736?highlight=*:*
Untitled - Two Women (1961),Gavin Waddell,collections.ed.ac.uk/art/record/99455?highlight=*:*
Untitled (2002),Michelle Samour,collections.ed.ac.uk/art/record/99941?highlight=*:*
'Gods' and Chiton Fig East Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20684?highlight=*:*
Two male figs from Parthenon Frieze,NA,collections.ed.ac.uk/art/record/20662?highlight=*:*
Chimney Pots (1966),James B. Thomson,collections.ed.ac.uk/art/record/21913?highlight=*:*
Portrait of a Seated Woman (1958),Ann Forbes,collections.ed.ac.uk/art/record/21112?highlight=*:*
Female Portrait (verso),John Whittaker,collections.ed.ac.uk/art/record/22739?highlight=*:*
Three Men (1963),Geoffrey J Roper,collections.ed.ac.uk/art/record/21360?highlight=*:*
Portrait of a Woman (Circa 1959),Ronald G Browne,collections.ed.ac.uk/art/record/21318?highlight=*:*
Unknown (1949),John W. Corner,collections.ed.ac.uk/art/record/50520?highlight=*:*
Landscape (01 May 1985),Allison E Sharpe,collections.ed.ac.uk/art/record/21466?highlight=*:*
Unknown (1950),Unknown,collections.ed.ac.uk/art/record/53506?highlight=*:*
Male Portrait (1949),Sheena Page,collections.ed.ac.uk/art/record/20773?highlight=*:*
Untitled (Unknown),Andrew Parkinson,collections.ed.ac.uk/art/record/21632?highlight=*:*
Standing Female Nude (1953),Fiona M Mouat,collections.ed.ac.uk/art/record/21049?highlight=*:*
Big Black Crow Valley (1988),Joanna De Pear,collections.ed.ac.uk/art/record/99464?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21598?highlight=*:*
Camel (Unknown),Margaret Clyde,collections.ed.ac.uk/art/record/21692?highlight=*:*
Portrait of a Seated Man (1955),Peter McGinn,collections.ed.ac.uk/art/record/21213?highlight=*:*
Portrait of a Man (1962),Leslie Johns,collections.ed.ac.uk/art/record/21263?highlight=*:*
Unknown (1965),McLeod,collections.ed.ac.uk/art/record/53594?highlight=*:*
Untitled - Nude Figure Lying in Bed (1984),Joseph Sharples,collections.ed.ac.uk/art/record/99333?highlight=*:*
Unknown,Elizabeth Blackadder,collections.ed.ac.uk/art/record/50636?highlight=*:*
Seated Female Nude (1939),Heather Measham,collections.ed.ac.uk/art/record/21136?highlight=*:*
Lorenzo de' Medici (Pre 1837),Unknown,collections.ed.ac.uk/art/record/20595?highlight=*:*
Untitled - Nude Male in the Forest (1963),Leonore D Mackay,collections.ed.ac.uk/art/record/99395?highlight=*:*
Abstract (1960),Denness Morton,collections.ed.ac.uk/art/record/21083?highlight=*:*
Of Carole Danielson (1964),Helen Cargill,collections.ed.ac.uk/art/record/53585?highlight=*:*
Groom and Horse from South Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20733?highlight=*:*
Untitled (Unknown),Charlotte H.M. Bryce,collections.ed.ac.uk/art/record/21833?highlight=*:*
Nanduti lace collar,Unknown,collections.ed.ac.uk/art/record/102694?highlight=*:*
Face on Water (2018),Paul Furneaux,collections.ed.ac.uk/art/record/21646?highlight=*:*
Church and Landscape (1955),Margaret Proudfoot,collections.ed.ac.uk/art/record/21032?highlight=*:*
Portrait of a Seated Woman (1962),Ekwall,collections.ed.ac.uk/art/record/21286?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20724?highlight=*:*
Side Plate,Emma Gillies,collections.ed.ac.uk/art/record/53614?highlight=*:*
Two Views of a Lying Male Nude (1960),Kenneth R Wheatley,collections.ed.ac.uk/art/record/20858?highlight=*:*
Abstract Portrait of Two Figures (1953),Iain West,collections.ed.ac.uk/art/record/20850?highlight=*:*
Unknown,Zygmunt Bukowski,collections.ed.ac.uk/art/record/53559?highlight=*:*
3 Paps of Jura (Unknown),Catherine Orbach,collections.ed.ac.uk/art/record/21981?highlight=*:*
Portrait of a Seated Woman in Fur Coat (1965-1966),George Donald,collections.ed.ac.uk/art/record/21173?highlight=*:*
Jug,Emma Gillies,collections.ed.ac.uk/art/record/53740?highlight=*:*
Plate,Emma Gillies,collections.ed.ac.uk/art/record/53721?highlight=*:*
Untitled (1983),Robert Rivers,collections.ed.ac.uk/art/record/99809?highlight=*:*
Plate,Emma Gillies,collections.ed.ac.uk/art/record/53672?highlight=*:*
Portrait of a Woman,Sarah Shaw,collections.ed.ac.uk/art/record/20938?highlight=*:*
Unknown (1957),Rupert F C Cracknell,collections.ed.ac.uk/art/record/50538?highlight=*:*
Untitled - Five Miners (1963),Felicity J Bostock,collections.ed.ac.uk/art/record/99372?highlight=*:*
Untitled - Drawing of a Man Wearing a Hat (1967),Isobel T Johnstone,collections.ed.ac.uk/art/record/99253?highlight=*:*
Standing Female Nude (1953),Allan Sutherland,collections.ed.ac.uk/art/record/20978?highlight=*:*
Untitled (Unknown),Catherine Temple,collections.ed.ac.uk/art/record/21605?highlight=*:*
Portrait of a Girl (1949),Leszek T. Muszynski,collections.ed.ac.uk/art/record/22682?highlight=*:*
Untitled (Unknown),Frank Thomson,collections.ed.ac.uk/art/record/21717?highlight=*:*
Landscape with City in background (1958-1959),Peter Standen,collections.ed.ac.uk/art/record/20793?highlight=*:*
Unknown (1957),Lawrence F. Baxter,collections.ed.ac.uk/art/record/50617?highlight=*:*
Farm,Donald Clark,collections.ed.ac.uk/art/record/21489?highlight=*:*
Standing Male Nude (1939-1940),Eleanora Borrie,collections.ed.ac.uk/art/record/21133?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21709?highlight=*:*
Portrait of a Seated Man in Uniform (1955),James Robertson,collections.ed.ac.uk/art/record/20805?highlight=*:*
Ruins in Rome (Feb 1948),Marjorie Wallace,collections.ed.ac.uk/art/record/20855?highlight=*:*
Unknown (1950-1951),Valerie A. Cockburn (Gage),collections.ed.ac.uk/art/record/50557?highlight=*:*
Still Life with Striped Cloth and Pots,David Rifat,collections.ed.ac.uk/art/record/22691?highlight=*:*
Untitled (1963),Janette Brown,collections.ed.ac.uk/art/record/22008?highlight=*:*
Doric Order (abacus and capital) of the Parthenon,NA,collections.ed.ac.uk/art/record/20638?highlight=*:*
Untitled - The Magi (1963),Monika L I Uecker,collections.ed.ac.uk/art/record/99444?highlight=*:*
Sunset (1959),Denness Morton,collections.ed.ac.uk/art/record/21081?highlight=*:*
Untitled (1962),Cant,collections.ed.ac.uk/art/record/21763?highlight=*:*
Seated Female Nude (1955),Eric Ritchie,collections.ed.ac.uk/art/record/21194?highlight=*:*
Untitled (2002),Grace Paul,collections.ed.ac.uk/art/record/99934?highlight=*:*
Untitled (Unknown),Anna Richardson,collections.ed.ac.uk/art/record/21937?highlight=*:*
A Puppet of Power (Circa 1956),Peter G. Collins,collections.ed.ac.uk/art/record/22576?highlight=*:*
Portrait of a Man (1956),James Robertson,collections.ed.ac.uk/art/record/21186?highlight=*:*
Tray-bearer from North Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20688?highlight=*:*
Sleep and the City (1957),Norman E Kirkpatrick,collections.ed.ac.uk/art/record/21024?highlight=*:*
A Red Made For R.M Rilke (2006),Catlin Dalton,collections.ed.ac.uk/art/record/99884?highlight=*:*
Whitework on indian muslin (1800-1849),Unknown,collections.ed.ac.uk/art/record/102705?highlight=*:*
Unknown,Jean Selby,collections.ed.ac.uk/art/record/50412?highlight=*:*
Untitled - Jousting Match (1965-1966),James B. Thomson,collections.ed.ac.uk/art/record/99447?highlight=*:*
Standing Female Nude holding Basket (25 Jan 1959),Barbara Strachan,collections.ed.ac.uk/art/record/20871?highlight=*:*
Portrait of an Elderly Woman (1960),Dorothea Brown,collections.ed.ac.uk/art/record/20994?highlight=*:*
Woman in Historic Dress (Circa 1950),Edward A. Gage,collections.ed.ac.uk/art/record/21394?highlight=*:*
Untitled (2006),Daisy Richardson,collections.ed.ac.uk/art/record/99866?highlight=*:*
Seated Male Nude with Staff (1958),Ian Hodkinson,collections.ed.ac.uk/art/record/20882?highlight=*:*
Idyll,Unknown,collections.ed.ac.uk/art/record/21200?highlight=*:*
A CUP OF WINE TOGETHER WILL MAKE US GLAD AND A LITTLE FRIENDSHIP IS NO LITTLE MATTER. (1985),Elaine M. Stenning,collections.ed.ac.uk/art/record/99334?highlight=*:*
Self Portrait (1950),Zygmunt Bukowski,collections.ed.ac.uk/art/record/22687?highlight=*:*
Standing Male Nude with Staff (1950),Cecile E M Johnston,collections.ed.ac.uk/art/record/21025?highlight=*:*
Untitled - Still Life With Flowers (1961-1962),Gwendolene E Roger,collections.ed.ac.uk/art/record/99400?highlight=*:*
Hand Thrown Pot,Emma Gillies,collections.ed.ac.uk/art/record/53734?highlight=*:*
Untitled - Older Couple (1983),Kathleen R Greer,collections.ed.ac.uk/art/record/99430?highlight=*:*
Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53656?highlight=*:*
Untitled - Pensive Girl (1963),Felicity J Bostock,collections.ed.ac.uk/art/record/99371?highlight=*:*
Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53627?highlight=*:*
Still Life in White and Grey,David Giblin,collections.ed.ac.uk/art/record/21519?highlight=*:*
Studies of Cliffs (15 APR 1961),John Picking,collections.ed.ac.uk/art/record/111036?highlight=*:*
Espresso Cup,Emma Gillies,collections.ed.ac.uk/art/record/53699?highlight=*:*
Portrait of a Bearded Man (1960),Marjory Dickson,collections.ed.ac.uk/art/record/20993?highlight=*:*
Untitled - Portrait of Woman in Profile (1963),Gordon Bryce,collections.ed.ac.uk/art/record/99327?highlight=*:*
Unknown (Circa 1890),Unknown,collections.ed.ac.uk/art/record/50460?highlight=*:*
Portrait of a Man (1953),Ian J. D. Short,collections.ed.ac.uk/art/record/22695?highlight=*:*
Portrait of a Bearded Man (Circa 1960),Derek Shiel,collections.ed.ac.uk/art/record/20939?highlight=*:*
Kneeling Male Nude (1953),George Hamilton,collections.ed.ac.uk/art/record/20932?highlight=*:*
Emerging (1987),Paul Furneaux,collections.ed.ac.uk/art/record/111442?highlight=*:*
Unknown,Jeffery Camp,collections.ed.ac.uk/art/record/50565?highlight=*:*
Unknown (1984),Moyna Flannigan,collections.ed.ac.uk/art/record/50404?highlight=*:*
Unknown,Alexander Cree,collections.ed.ac.uk/art/record/50549?highlight=*:*
Blackbird on Toys,Gordon Mitchell,collections.ed.ac.uk/art/record/22560?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/50417?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/50406?highlight=*:*
Untitled - Wheatfield in Ink (1963),Anne E Jones,collections.ed.ac.uk/art/record/99257?highlight=*:*
Patrick Nuttgens (recto),John Whittaker,collections.ed.ac.uk/art/record/22738?highlight=*:*
Woman with Child and Still Life (1938),Catherine I. McIvor,collections.ed.ac.uk/art/record/22512?highlight=*:*
Cow,Emma Gillies,collections.ed.ac.uk/art/record/53757?highlight=*:*
Untitled,Derek Reid,collections.ed.ac.uk/art/record/22725?highlight=*:*
Untitled (1965),Gregor Smith,collections.ed.ac.uk/art/record/22009?highlight=*:*
Machine stitched net (1946),Unknown,collections.ed.ac.uk/art/record/102688?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/53545?highlight=*:*
Portrait of a Woman (1951),James P W Syme,collections.ed.ac.uk/art/record/21231?highlight=*:*
Untitled (Unknown),Joanne Leonie Milne,collections.ed.ac.uk/art/record/21947?highlight=*:*
South Frieze of the Parthenon Frieze (1836-1837),NA,collections.ed.ac.uk/art/record/20692?highlight=*:*
Untitled (2006),Shona McKinnon,collections.ed.ac.uk/art/record/99867?highlight=*:*
Untitled - Woodland Fantasy in Green (1963),Jean M. Marshall,collections.ed.ac.uk/art/record/99362?highlight=*:*
Untitled (1983),Andrew Arnott,collections.ed.ac.uk/art/record/21824?highlight=*:*
Memorabilia (Unknown),James Cumming,collections.ed.ac.uk/art/record/21651?highlight=*:*
Untitled (1989),Joanne Leonie Milne,collections.ed.ac.uk/art/record/21896?highlight=*:*
Reclining Female Nude (1957),Peter Coyle,collections.ed.ac.uk/art/record/20968?highlight=*:*
Untitled,Shirley Brown,collections.ed.ac.uk/art/record/22518?highlight=*:*
Unknown (23 Jan 1964),James Goodall,collections.ed.ac.uk/art/record/50481?highlight=*:*
Frieze from the Temple of Athena Nike (far right) (1827),NA,collections.ed.ac.uk/art/record/20628?highlight=*:*
One mould and five wax portrait miniatures (Post 1860),Unknown,collections.ed.ac.uk/art/record/20614?highlight=*:*
Portrait Study (1950),Thomas Kim Redpath,collections.ed.ac.uk/art/record/22703?highlight=*:*
Portrait of a Woman (1959),Barbara Strachan,collections.ed.ac.uk/art/record/20869?highlight=*:*
Apollo Sauroktonos,Unknown,collections.ed.ac.uk/art/record/20588?highlight=*:*
Portrait of a Man (Side View) (1958),Peter Standen,collections.ed.ac.uk/art/record/20864?highlight=*:*
Valerie (Circa 1987),Renny Tait,collections.ed.ac.uk/art/record/20752?highlight=*:*
Unknown (1964),Eleanor Maiden,collections.ed.ac.uk/art/record/53584?highlight=*:*
No. 75,Olivia Grehang,collections.ed.ac.uk/art/record/53482?highlight=*:*
Blue and Black Grid,Joan E. Smith,collections.ed.ac.uk/art/record/22550?highlight=*:*
Standing Male Nude (1952),David Michie,collections.ed.ac.uk/art/record/21386?highlight=*:*
Goat,Emma Gillies,collections.ed.ac.uk/art/record/53746?highlight=*:*
Relic of Origins: Red Deer (2013),Kyle Noble,collections.ed.ac.uk/art/record/21305?highlight=*:*
Unknown (1982),Donald Urquhart,collections.ed.ac.uk/art/record/99516?highlight=*:*
Tombstone 1693 (1989-1990),Aline McLeod,collections.ed.ac.uk/art/record/21470?highlight=*:*
Untitled (1947),Allan W. Robson,collections.ed.ac.uk/art/record/21745?highlight=*:*
Plate,Emma Gillies,collections.ed.ac.uk/art/record/53707?highlight=*:*
Portrait of a Young Woman (1960),John Kerr,collections.ed.ac.uk/art/record/20986?highlight=*:*
Seated Female Nude (1957),Duncan Thompson,collections.ed.ac.uk/art/record/21103?highlight=*:*
Untitled (1981),Jane Fairclough,collections.ed.ac.uk/art/record/21591?highlight=*:*
Untitled (2007),Esther McGreggor,collections.ed.ac.uk/art/record/99895?highlight=*:*
Performing Labour: a guide to creative resistance (2020),Aisling Ward,collections.ed.ac.uk/art/record/113779?highlight=*:*
Two Female Heads (1959),Denness Morton,collections.ed.ac.uk/art/record/21077?highlight=*:*
Unknown (1986),Peter McLaren,collections.ed.ac.uk/art/record/53533?highlight=*:*
Anatomical figure of legs,NA,collections.ed.ac.uk/art/record/20599?highlight=*:*
Unknown,Alan Chisholm,collections.ed.ac.uk/art/record/50405?highlight=*:*
Portrait of Sister (1958),Frances M. Walker,collections.ed.ac.uk/art/record/22680?highlight=*:*
Seated Female Nude (1959),Violet Thompson,collections.ed.ac.uk/art/record/21145?highlight=*:*
Stag,Emma Gillies,collections.ed.ac.uk/art/record/53753?highlight=*:*
Seated Male Nude (1954),Kathleen M D Mole,collections.ed.ac.uk/art/record/21052?highlight=*:*
Portrait of a Woman (1962),Ekwall,collections.ed.ac.uk/art/record/21285?highlight=*:*
Seated Male Nude with Glasses (1958),Elizabeth Meldrum,collections.ed.ac.uk/art/record/21159?highlight=*:*
Portrait of a Woman in a Headdress,Adam Bruce Thomson,collections.ed.ac.uk/art/record/20828?highlight=*:*
Unknown (1950),Alexander Cree,collections.ed.ac.uk/art/record/50541?highlight=*:*
Harbour (Circa 1965),James B. Thomson,collections.ed.ac.uk/art/record/22619?highlight=*:*
Untitled (1964),Helen Cargill,collections.ed.ac.uk/art/record/22484?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21555?highlight=*:*
Unknown (1968),Kenneth R Duffy,collections.ed.ac.uk/art/record/99515?highlight=*:*
Sleeping Male Nude (1970),Elspeth Coop,collections.ed.ac.uk/art/record/20970?highlight=*:*
Idolino,Unknown,collections.ed.ac.uk/art/record/20576?highlight=*:*
Head Drawing (1969),John Stewart,collections.ed.ac.uk/art/record/22487?highlight=*:*
Framed applique (1936),Unknown,collections.ed.ac.uk/art/record/102698?highlight=*:*
Portrait Figure Sitting (1952),D. Gordon Campbell,collections.ed.ac.uk/art/record/22508?highlight=*:*
Untitled (Unknown),Ruth Beale,collections.ed.ac.uk/art/record/21942?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/99945?highlight=*:*
Unknown (1952),George Roderick Carmichael,collections.ed.ac.uk/art/record/50569?highlight=*:*
Siena (1956),John P Busby,collections.ed.ac.uk/art/record/21379?highlight=*:*
Untitled (Mar 1997),Unknown,collections.ed.ac.uk/art/record/21928?highlight=*:*
Untitled (1961),Thora Clyne,collections.ed.ac.uk/art/record/112309?highlight=*:*
Unknown (1950),George Roderick Carmichael,collections.ed.ac.uk/art/record/50567?highlight=*:*
Untitled (2001),Antonio Marcos Martin,collections.ed.ac.uk/art/record/21921?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21905?highlight=*:*
Unknown (1975),Ruth Stiven,collections.ed.ac.uk/art/record/99517?highlight=*:*
The Sons of Usnach at Chess (1964),John B Vallely,collections.ed.ac.uk/art/record/21006?highlight=*:*
Untitled,Brian Caster,collections.ed.ac.uk/art/record/112345?highlight=*:*
Espresso Cup,Emma Gillies,collections.ed.ac.uk/art/record/53700?highlight=*:*
Untitled (1986),Hilary A. Fisher,collections.ed.ac.uk/art/record/21553?highlight=*:*
Extra Light Shoe (2016),Eden Hawkins,collections.ed.ac.uk/art/record/99264?highlight=*:*
Face on Water,Paul Furneaux,collections.ed.ac.uk/art/record/21747?highlight=*:*
Untitled - Woman in Pigtails (1965),Julia A M Barnard,collections.ed.ac.uk/art/record/99382?highlight=*:*
Standing Male Nude (1959),Grace Nichol,collections.ed.ac.uk/art/record/20956?highlight=*:*
Untitled (03 Jul 2014),Crosier,collections.ed.ac.uk/art/record/22494?highlight=*:*
Extended Effect (2007),Karin Nogva,collections.ed.ac.uk/art/record/99900?highlight=*:*
1.(a) Meccarama Serif (Unknown),Anthony Benjamin,collections.ed.ac.uk/art/record/21668?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/50380?highlight=*:*
Untitled - Nude Woman with Legs Folded (1965),Laura McPherson,collections.ed.ac.uk/art/record/99390?highlight=*:*
Unknown (1901),George Bain,collections.ed.ac.uk/art/record/50458?highlight=*:*
Untitled - Woman with Bun (1963),Iona Murray,collections.ed.ac.uk/art/record/99401?highlight=*:*
Portrait of a Man Seated,Paul Furneaux,collections.ed.ac.uk/art/record/21517?highlight=*:*
Riders from the West Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20670?highlight=*:*
Untitled - Figure Drawing in Charcoal of Girl in Jumper (1964),William Gillon,collections.ed.ac.uk/art/record/99324?highlight=*:*
Notations: Edinburgh (2017),India Elizabeth Cawley Gelling,collections.ed.ac.uk/art/record/100016?highlight=*:*
Seated Woman in Blanket (1965),William Gillon,collections.ed.ac.uk/art/record/21325?highlight=*:*
Landscape with Horse (1945-1946),William MacLaren,collections.ed.ac.uk/art/record/21065?highlight=*:*
Unknown,Claire Alexander,collections.ed.ac.uk/art/record/50391?highlight=*:*
Postgraduate Degree Show 1986 (1986),Robert Adam,collections.ed.ac.uk/art/record/21584?highlight=*:*
Seated Male Nude,Unknown,collections.ed.ac.uk/art/record/21509?highlight=*:*
Untitled (1968),Gillian Mather,collections.ed.ac.uk/art/record/22501?highlight=*:*
Lucca (1949),J. C. Grant Duncan,collections.ed.ac.uk/art/record/21367?highlight=*:*
St James the Greater,Unknown,collections.ed.ac.uk/art/record/20548?highlight=*:*
Standing Female Nude and Stool (1960s),Catherine Banchop,collections.ed.ac.uk/art/record/21269?highlight=*:*
Espresso Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53678?highlight=*:*
Still Life Apples (1953),D. Gordon Campbell,collections.ed.ac.uk/art/record/22674?highlight=*:*
Sweden - Fishing for Str⁯ömming (1962),Ann F Ward,collections.ed.ac.uk/art/record/99338?highlight=*:*
Untitled (20 Feb 2014),David C Duke,collections.ed.ac.uk/art/record/21989?highlight=*:*
Unknown (1966),John Nelson,collections.ed.ac.uk/art/record/53580?highlight=*:*
Untitled (1991-1992),Kate McKenzie,collections.ed.ac.uk/art/record/21934?highlight=*:*
Dining Table,John Houston,collections.ed.ac.uk/art/record/21045?highlight=*:*
Coronation Jug (1953),Mollie E N Langlands,collections.ed.ac.uk/art/record/22507?highlight=*:*
Portrait of a Man (1952),David Michie,collections.ed.ac.uk/art/record/21384?highlight=*:*
Untitled (1968),Caroline Rose,collections.ed.ac.uk/art/record/21843?highlight=*:*
Four Prints (2007),Paul Laidler,collections.ed.ac.uk/art/record/99965?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21778?highlight=*:*
Portrait of a Man in a Flat Cap (1963),John Milligan,collections.ed.ac.uk/art/record/21287?highlight=*:*
Seated Woman holding Hat (Jun 1961),John Bellany,collections.ed.ac.uk/art/record/20768?highlight=*:*
Untitled (1996),Jennifer C. Lindsay,collections.ed.ac.uk/art/record/21929?highlight=*:*
Riders from South Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20729?highlight=*:*
3D impressing (2003),Jenn Schmidt,collections.ed.ac.uk/art/record/99952?highlight=*:*
Chariot from North Frieze of the Parthenon (1836-1837),NA,collections.ed.ac.uk/art/record/20715?highlight=*:*
Untitled (Circa 1960),Robert L Snowden,collections.ed.ac.uk/art/record/21545?highlight=*:*
Vase,Emma Gillies,collections.ed.ac.uk/art/record/53737?highlight=*:*
Untitled (1967),Kirkland Main,collections.ed.ac.uk/art/record/21872?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/53510?highlight=*:*
Untitled (1986),Dorothy Black,collections.ed.ac.uk/art/record/21588?highlight=*:*
Reclining Male Nude (06 Nov 1967),Sybil Erskine,collections.ed.ac.uk/art/record/21111?highlight=*:*
Untitled - Figure Drawing of A Man with Crossed Arms (1968),Alfons B. Jasinski,collections.ed.ac.uk/art/record/99273?highlight=*:*
Untitled (1960),Elizabeth M. Hansen,collections.ed.ac.uk/art/record/99839?highlight=*:*
View of Garden with Washing Lines (1987),Margaret L. Smyth,collections.ed.ac.uk/art/record/22559?highlight=*:*
Seated Male Nude (1954),Robert Fraser,collections.ed.ac.uk/art/record/21243?highlight=*:*
Portrait of a Woman,Alice Henderson,collections.ed.ac.uk/art/record/21528?highlight=*:*
Untitled (1960),Robert L Snowden,collections.ed.ac.uk/art/record/21539?highlight=*:*
Seated Female Nude (21 Nov 1957),Sheena McEwan,collections.ed.ac.uk/art/record/20900?highlight=*:*
Unknown (1960),George H McIntosh,collections.ed.ac.uk/art/record/53578?highlight=*:*
Small Anatomical Figure,NA,collections.ed.ac.uk/art/record/20601?highlight=*:*
View of a Caravan,Peter McGoldrick,collections.ed.ac.uk/art/record/21427?highlight=*:*
Fish and Circles (Circa 1982),Wilhelmina Barns-Graham CBE HRSA HRSW,collections.ed.ac.uk/art/record/54747?highlight=*:*
Unknown (Unknown),Unknown,collections.ed.ac.uk/art/record/21903?highlight=*:*
Camp II (1982),Reinhard Behrens,collections.ed.ac.uk/art/record/99465?highlight=*:*
Portrait of the sad bed (2002),Jan Vaibaraite,collections.ed.ac.uk/art/record/99989?highlight=*:*
Two Men on a Train (12 Jun 1948),Marjorie Wallace,collections.ed.ac.uk/art/record/20856?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21711?highlight=*:*
Untitled (1969),Richard Easson,collections.ed.ac.uk/art/record/99831?highlight=*:*
Portrait of Sleeping Woman (1957),Sheena McEwan,collections.ed.ac.uk/art/record/21009?highlight=*:*
Drawing of a Man in a Suit seated on a stool (1959),Albert Robson,collections.ed.ac.uk/art/record/20785?highlight=*:*
Reclining Female Nude (1958),Dorothy Durward,collections.ed.ac.uk/art/record/21142?highlight=*:*
Still Life with Peonies,Anne Redpath,collections.ed.ac.uk/art/record/20746?highlight=*:*
"Small Classical Head, possibly Apollo",NA,collections.ed.ac.uk/art/record/20605?highlight=*:*
Untitled (2007),Johan Wahlgren,collections.ed.ac.uk/art/record/99980?highlight=*:*
Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53664?highlight=*:*
Unknown,Unknown,collections.ed.ac.uk/art/record/53553?highlight=*:*
Embroidered panel,Winsome Douglass,collections.ed.ac.uk/art/record/113832?highlight=*:*
Border Fancy (1979),Colin Adams,collections.ed.ac.uk/art/record/21630?highlight=*:*
Untitled - Figure on the Beach (1984),Heidi J P Kosaniuk,collections.ed.ac.uk/art/record/99438?highlight=*:*
Untitled (1961),Jean Connacher,collections.ed.ac.uk/art/record/112343?highlight=*:*
Untitled,Derek McGuire,collections.ed.ac.uk/art/record/112503?highlight=*:*
Espresso Saucer,Emma Gillies,collections.ed.ac.uk/art/record/53681?highlight=*:*
Seated Nude Woman (1957-1959),Albert Robson,collections.ed.ac.uk/art/record/20813?highlight=*:*
Untitled - Chickens (1962),Janette Brown,collections.ed.ac.uk/art/record/99375?highlight=*:*
Untitled (1962),Paresh C. Chakraborty,collections.ed.ac.uk/art/record/112306?highlight=*:*
Scissors,Unknown,collections.ed.ac.uk/art/record/22615?highlight=*:*
Interior and Window (1971),Karol Prentice,collections.ed.ac.uk/art/record/21364?highlight=*:*
Nude in Sunlight (1983),Gwen W. Hardie,collections.ed.ac.uk/art/record/22542?highlight=*:*
Seated Female Nude (1949),Leszek Muszynski,collections.ed.ac.uk/art/record/21075?highlight=*:*
Untitled (1983),Robert Rivers,collections.ed.ac.uk/art/record/99806?highlight=*:*
Multi Coloured Geometric (1971),Jim Hickey,collections.ed.ac.uk/art/record/22602?highlight=*:*
Portrait of a Woman (1952),Martin G C McKeown,collections.ed.ac.uk/art/record/21415?highlight=*:*
Reclining Seated Nude (1958),Peter Standen,collections.ed.ac.uk/art/record/20866?highlight=*:*
Untitled (1946),Vivian Chapman,collections.ed.ac.uk/art/record/21736?highlight=*:*
Untitled (2006),Elizabeth Shepherd,collections.ed.ac.uk/art/record/99875?highlight=*:*
Portrait of a Woman (1956),Joan Rogers,collections.ed.ac.uk/art/record/21187?highlight=*:*
Untitled (Unknown),Unknown,collections.ed.ac.uk/art/record/21992?highlight=*:*
Portrait of a Woman (1957),Norman E Kirkpatrick,collections.ed.ac.uk/art/record/21021?highlight=*:*
Portrait of a Woman (1953),A Scott,collections.ed.ac.uk/art/record/21198?highlight=*:*
Still Life with Skeleton and Fruit (1958-1959),Peter Standen,collections.ed.ac.uk/art/record/20792?highlight=*:*
Portrait of a Woman with Red Hair (1963),Roger Cameron,collections.ed.ac.uk/art/record/21320?highlight=*:*
Seated Female Nude (1959),Jean I. Beattie,collections.ed.ac.uk/art/record/20921?highlight=*:*
"Trawlers, Granton Harbour (1951)",John W. Corner,collections.ed.ac.uk/art/record/21829?highlight=*:*
Farmer with Scythe,John Houston,collections.ed.ac.uk/art/record/21048?highlight=*:*
Monochrome Cityscape (Circa 1976),Martin Churchill,collections.ed.ac.uk/art/record/22586?highlight=*:*
A Picture of a Small Dog Going on a Long Journey (Unknown),Margaret Clyde,collections.ed.ac.uk/art/record/21884?highlight=*:*
Untitled - Portrait of a Woman with Short Hair (1961),Gavin Waddell,collections.ed.ac.uk/art/record/99454?highlight=*:*
Two Circus Acts in One (1958),Seong Moy,collections.ed.ac.uk/art/record/21704?highlight=*:*
Unknown (1949),Betty Elston,collections.ed.ac.uk/art/record/50581?highlight=*:*
